3-21-2016,3-22-2016,H:66,L:37,26,20,WSW,30,WSW,0.07
3-21-2016,3-23-2016,H:43,L:27,49,23,N,30,N,0.15
3-21-2016,3-24-2016,H:50,L:31,39,8,WSW,10,WSW,0.0
3-22-2016,3-22-2016,H:67,L:38,25,17,SW,25,SW,0.09
3-22-2016,3-23-2016,H:44,L:28,44,24,N,30,N,0.16
3-22-2016,3-24-2016,H:53,L:32,38,9,SW,10,SW,0.0
3-22-2016,3-25-2016,H:52,L:29,41,14,W,20,W,0.37
3-23-2016,3-23-2016,H:39,L:28,64,21,N,30,N,0.5
3-23-2016,3-24-2016,H:52,L:33,41,6,SSW,10,SSW,0.0
3-23-2016,3-25-2016,H:49,L:27,41,13,NW,20,NW,0.5
3-23-2016,3-26-2016,H:37,L:18,64,6,ENE,10,ENE,0.13
3-24-2016,3-24-2016,H:49,L:32,48,5,SSW,10,SSW,0.0
3-24-2016,3-25-2016,H:44,L:26,45,13,W,20,W,0.18
3-24-2016,3-26-2016,H:34,L:20,69,6,NE,10,NE,0.07
3-24-2016,3-27-2016,H:51,L:28,47,6,SSW,10,SSW,0.0
3-25-2016,3-25-2016,H:47,L:25,45,12,W,15,W,0.05
3-25-2016,3-26-2016,H:38,L:22,64,7,NE,10,NE,0.03
3-25-2016,3-27-2016,H:51,L:30,39,7,SW,10,SW,0.0
3-25-2016,3-28-2016,H:59,L:36,39,5,SSW,10,SSW,0.0
3-26-2016,3-26-2016,H:37,L:22,66,6,N,10,N,0.02
3-26-2016,3-27-2016,H:52,L:29,46,6,SSW,10,SSW,0.0
3-26-2016,3-28-2016,H:55,L:35,46,5,SW,10,SW,0.0
3-26-2016,3-29-2016,H:57,L:34,43,10,WNW,15,WNW,0.14
3-27-2016,3-27-2016,H:51,L:32,46,6,S,10,S,0.0
3-27-2016,3-28-2016,H:58,L:37,45,5,W,10,W,0.0
3-27-2016,3-29-2016,H:52,L:33,45,10,W,15,W,0.2
3-27-2016,3-30-2016,H:40,L:26,62,11,NNE,15,NNE,0.25
3-28-2016,3-28-2016,H:61,L:38,39,5,W,10,W,0.0
3-28-2016,3-29-2016,H:60,L:34,42,10,WNW,15,WNW,0.02
3-28-2016,3-30-2016,H:44,L:29,50,18,NNW,25,NNW,0.05
3-28-2016,3-31-2016,H:47,L:26,44,9,WNW,10,WNW,0.08
3-29-2016,3-29-2016,H:60,L:36,44,13,N,20,N,0.01
3-29-2016,3-30-2016,H:44,L:29,51,18,N,25,N,0.04
3-29-2016,3-31-2016,H:47,L:24,46,13,NNW,20,NNW,0.05
3-29-2016,4-1-2016,H:53,L:32,41,8,SW,10,SW,0.0
3-30-2016,3-30-2016,H:45,L:30,49,15,NNW,20,NNW,0.06
3-30-2016,3-31-2016,H:42,L:22,52,11,NE,15,NE,0.16
3-30-2016,4-1-2016,H:51,L:31,42,5,SSW,10,SSW,0.0
3-30-2016,4-2-2016,H:61,L:37,40,6,SSW,10,SSW,0.0
3-31-2016,3-31-2016,H:41,L:21,50,15,NE,20,NE,0.15
3-31-2016,4-1-2016,H:49,L:30,47,6,SW,10,SW,0.0
3-31-2016,4-2-2016,H:60,L:37,41,6,SSW,10,SSW,0.0
3-31-2016,4-3-2016,H:66,L:39,35,9,WNW,10,WNW,0.0
4-1-2016,4-1-2016,H:48,L:30,45,5,WSW,10,WSW,0.0
4-1-2016,4-2-2016,H:63,L:39,39,7,SSW,10,SSW,0.0
4-1-2016,4-3-2016,H:66,L:39,35,8,NW,10,NW,0.0
4-1-2016,4-4-2016,H:70,L:43,37,6,SE,10,SE,0.0
4-2-2016,4-2-2016,H:63,L:40,37,8,SSW,10,SSW,0.0
4-2-2016,4-3-2016,H:68,L:40,32,8,WNW,10,WNW,0.0
4-2-2016,4-4-2016,H:71,L:44,34,7,S,10,S,0.0
4-2-2016,4-5-2016,H:63,L:39,29,24,W,30,W,0.0
4-3-2016,4-3-2016,H:68,L:39,32,9,WNW,10,WNW,0.0
4-3-2016,4-4-2016,H:71,L:44,33,7,SSW,10,SSW,0.0
4-3-2016,4-5-2016,H:61,L:37,30,23,W,30,W,0.0
4-3-2016,4-6-2016,H:68,L:41,29,10,N,15,N,0.0
4-4-2016,4-4-2016,H:72,L:45,33,7,SSW,10,SSW,0.0
4-4-2016,4-5-2016,H:62,L:36,32,24,W,30,W,0.0
4-4-2016,4-6-2016,H:68,L:42,26,13,WNW,20,WNW,0.0
4-4-2016,4-7-2016,H:71,L:39,29,6,E,10,E,0.0
4-5-2016,4-5-2016,H:63,L:35,31,27,W,35,W,0.0
4-5-2016,4-6-2016,H:68,L:43,26,12,NW,15,NW,0.0
